ID,Dut,Pad,CX,CY
784,15,87,-6278.7,31923.9
785,15,88,-6345.4,31922.1
786,15,89,-6414.8,31919.3
787,15,91,-6621.6,31922.5
788,15,92,-6688.5,31921.5
789,15,93,-6754.1,31920.9
790,15,94,-6690.8,32173.2
791,15,95,-6624.9,32174.5
792,15,96,-6553.2,32170.4
793,17,2,-56526.2,93179.7
794,17,3,-56590.7,93180.1
795,17,5,-56731.9,93179.2
796,17,7,-56873.8,93181.3
797,17,9,-57014.1,93179.1
798,17,11,-57151.6,93180.9
799,17,13,-57293.4,93180
800,17,15,-57431.9,93178.4
801,17,16,-57501.5,93181.2
802,17,17,-57574,93178.6
803,17,18,-57643.5,93181.9
804,17,20,-57782.5,93178
805,17,22,-57920.1,93183.1
806,17,24,-58062.7,93182.6
807,17,26,-58204.3,93178.2
808,17,27,-58271.9,93182.1
809,17,28,-58432.9,93181.7
810,17,29,-58501,93178.2
811,17,30,-58571.6,93183.1
812,17,31,-58643,93177.1
813,17,32,-58711.6,93179
814,17,33,-58780.3,93178.7
815,17,34,-58851.4,93182.4
816,17,35,-58922,93178.5
817,17,36,-58992.7,93179.7
818,17,37,-59059.6,93178.2
819,17,38,-59127.9,93181.6
820,17,39,-59202.8,93178.4
821,17,40,-59270.3,93181
822,17,42,-59411,93179.2
823,17,44,-59550.2,93181.2
824,17,46,-59692.6,93178.8
825,17,48,-59831.1,93182.5
826,17,50,-59968.2,93178.3
827,17,52,-60111,93178.9
828,17,54,-60251.8,93179
829,17,55,-60318.2,93178.2
830,17,56,-60385.3,93183.2
831,17,57,-60840,93179.9
832,17,58,-60907.8,93181.8
833,17,59,-60978.2,93178.8
834,17,60,-61047.8,93183.4
835,17,62,-61179.9,93180.3
836,17,63,-61250.3,93181.6
837,17,64,-61318.9,93179
838,17,66,-61453.2,93180
839,17,67,-61523.8,93183.3
